,Symbol,Company Name,Security Name,Cleaned Name
32,ACLS,"Axcelis Technologies, Inc. ","Axcelis Technologies, Inc. - Common Stock",Axcelis Technologies
33,ACMR,"ACM Research, Inc. ","ACM Research, Inc. - Class A Common Stock",ACM Research
34,ACNB,ACNB Corporation ,ACNB Corporation - Common Stock,ACNB
35,ACOR,"Acorda Therapeutics, Inc. ","Acorda Therapeutics, Inc. - Common Stock",Acorda Therapeutics
36,ACRS,"Aclaris Therapeutics, Inc. ","Aclaris Therapeutics, Inc. - Common Stock",Aclaris Therapeutics
37,ACRX,"AcelRx Pharmaceuticals, Inc. ","AcelRx Pharmaceuticals, Inc. - Common Stock",AcelRx Pharmaceuticals
38,ACSF,"American Capital Senior Floating, Ltd. ","American Capital Senior Floating, Ltd. - Common Stock",Floating
39,ACST,"Acasti Pharma, Inc. ","Acasti Pharma, Inc. - Class A Common Stock",Acasti Pharma
40,ACT,AdvisorShares Vice ETF,AdvisorShares Vice ETF,Advisor Vice
41,ACTG,Acacia Research Corporation ,Acacia Research Corporation - Common Stock,Acacia Research
42,ACXM,Acxiom Corporation ,Acxiom Corporation - Common Stock,Acxiom
43,ADAP,Adaptimmune Therapeutics plc ,Adaptimmune Therapeutics plc - American Depositary Shares,Adaptimmune Therapeutics
44,ADBE,Adobe Systems Incorporated ,Adobe Systems Incorporated - Common Stock,Adobe Systems
45,ADES,"Advanced Emissions Solutions, Inc. ","Advanced Emissions Solutions, Inc. - Common Stock",Advanced Emissions Solutions
46,ADI,"Analog Devices, Inc. ","Analog Devices, Inc. - Common Stock",Analog Devices
47,ADIL,"Adial Pharmaceuticals, Inc ","Adial Pharmaceuticals, Inc - Common Stock",Adial Pharmaceuticals
48,ADILW,"Adial Pharmaceuticals, Inc ","Adial Pharmaceuticals, Inc - Warrant",Adial
49,ADMA,ADMA Biologics Inc ,ADMA Biologics Inc - Common Stock,ADMA Biologics
50,ADMP,Adamis Pharmaceuticals Corporation ,Adamis Pharmaceuticals Corporation - Common Stock,Adamis
51,ADMS,"Adamas Pharmaceuticals, Inc. ","Adamas Pharmaceuticals, Inc. - Common Stock",Adamas
52,ADOM,"ADOMANI, Inc. ","ADOMANI, Inc. - Common Stock",ADOMAN
53,ADRA,Invesco BLDRS Asia 50 ADR Index Fund,Invesco BLDRS Asia 50 ADR Index Fund,Invesco BLDRS Asia 50 ADR Index Fund
54,ADRD,Invesco BLDRS Developed Markets 100 ADR Index Fund,Invesco BLDRS Developed Markets 100 ADR Index Fund,Invesco BLDRS Developed Markets 100 ADR Index Fund
55,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Invesco BLDRS Emerging Markets 50 ADR Index Fund,Invesco BLDRS Emerging Markets 50 ADR Index Fund
